category,query,passed,matched,violation,latency_s,response_preview
section,What is the punishment for murder under BNS?,True,103,,1.04,"**Section 103 of BNS** → Punishment for murder → ""Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.""  --- *⚠️ For educational purposes onl"
section,BNS section 318,True,318,,0.71,"**Section 318 of BNS** → This section is about cheating, which involves deceiving a person to deliver property, consent to retaining property, or to do/omit something that causes damage or harm.  ""sha"
section,what is bns section 108,True,108,,0.61,"**Section 108 of BNS** → Abetment of suicide → ""shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.""  --- *⚠️ For educ"
section,section 64 BNS,True,64,,0.51,"**Section 64 of BNS** → Punishment for rape → ""shall be punished with rigorous imprisonment of either description for a term""  --- *⚠️ For educational purposes only. Consult a qualified lawyer for leg"
section,BNSS 113,True,113,,0.92,"**Section 113 of BNSS** → Letter of request from a country or place outside India to a Court or an authority for investigation in India.  ""(1) Upon receipt of a letter of request from a Court or an au"
section,BSA 62,True,62,,0.61,"**Section 62 of BSA** → Special provisions as to evidence relating to electronic record → ""The contents of electronic records may be proved in accordance with the provisions of section 63.""  --- *⚠️ F"
section,what is bns 80,True,80,,0.71,"**Section 80 of BNS** → Dowry death → ""for a term which may extend to three years, and also with fine.""  --- *⚠️ For educational purposes only. Consult a qualified lawyer for legal advice.*"
section,BNS 309,True,309,,0.71,"**Section 309 of BNS** → Robbery →  The punishment for this section is not explicitly stated in the given context. However, subsection (6) provides a punishment for a specific scenario:  ""shall be pun"
section,bns section 74,True,74,,2.66,"**Section 74 of BNS** → Assault or use of criminal force to woman with intent to outrage her modesty → ""shall be punished with imprisonment of either description for a term which shall not be less tha"
section,section 86 BNS,True,86,,4.71,"**Section 86 of BNS** → defines cruelty for the purposes of section 85 → ""cruelty"" means—  (a) any wilful conduct which is of such a nature as is likely to drive the woman to commit suicide  or to cau"
ipc_redirect,what replaced IPC 302?,True,103,,7.83,"**Section 103 of BNS** → Punishment for murder → ""Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.""  > 📌 **IPC → New Law:** Old IPC Secti"
ipc_redirect,IPC 420,True,318,,7.93,"**Section 318 of BNS** → Cheating → ""shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.""  > 📌 **IPC → New Law:** Old IPC "
ipc_redirect,section 376 of IPC,True,64,,6.96,"**Section 64 of BNS** → Punishment for rape → ""shall be punished with rigorous imprisonment of either description for a te""   Note: The provided context seems to be cut off, and the full punishment te"
ipc_redirect,498A IPC,True,86,,6.14,"**Section 86 of BNS** → Cruelty defined → ""cruelty"" means—  (a) any wilful conduct which is of such a nature as is likely to drive the woman to commit suicide  or to cause grave injury or danger to li"
ipc_redirect,IPC 307,True,109,,7.9,"**Section 109 of BNS** → Attempt to murder → ""Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act cause""   Note: The punishment for this section"
ipc_redirect,what is IPC 306,True,108,,7.76,"**Section 108 of BNS** → Abetment of suicide → shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.  > 📌 **IPC → New La"
ipc_redirect,302 in IPC?,True,103,,6.88,"**Section 103 of BNS** → Punishment for murder → ""Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine.""  --- *⚠️ For educational purposes onl"
situational,what is stalking under BNS?,True,78,,7.57,"**Section 78 of BNS** → Stalking is defined as when any man follows a woman and contacts, or attempts to contact such woman to foster personal interaction repeatedly despite a clear indication of disi"
situational,punishment for theft,True,theft,,7.35,"**Section 307 of BNS** → Punishment for theft after preparation made for causing death, hurt, or restraint → ""shall be punished with rigorous imprisonment for a term which may extend to ten years, and"
situational,what is dowry death,True,80,,7.26,"**Section 80 of BNS** → Dowry death is defined as the death of a woman caused by any burns or bodily injury or occurring otherwise than under normal circumstances within seven years of her marriage, w"
situational,electronic evidence under BSA,True,electronic,,7.1,"**Section 4 of BSA** → provides that ""evidence"" includes any information given electronically, which would permit appearance of witnesses, accused, experts and victims through electronic means.  **Sec"
situational,what is bns,True,Bharatiya Nyaya,,0.0,"## 📘 Bharatiya Nyaya Sanhita (BNS), 2023  The **BNS** is India's new criminal code that **replaced the Indian Penal Code (IPC) 1860** with effect from **1st July 2024**.  **Key facts:** - **Total sect"
situational,what is bnss,True,Bharatiya Nagarik,,0.0,"## 📗 Bharatiya Nagarik Suraksha Sanhita (BNSS), 2023  The **BNSS** is India's new criminal procedure code that **replaced the Code of Criminal Procedure (CrPC) 1973** with effect from **1st July 2024*"
situational,hi,True,Namaste,,0.0,"Namaste! 🙏 I'm your **Indian Legal Assistant**, powered by LLaMA 3.3 (70B).  I cover India's new criminal laws effective 1st July 2024:  - 📘 **BNS** – Bharatiya Nyaya Sanhita, 2023 *(replaces IPC 1860"
situational,full form of bsa,True,Sakshya,,0.0,"## 📙 Bharatiya Sakshya Adhiniyam (BSA), 2023  The **BSA** is India's new law of evidence that **replaced the Indian Evidence Act, 1872** with effect from **1st July 2024**.  **Key facts:** - **Total s"
